1,-10468,-7860,12348,-2675,-1068,-5469
2,3376,17728,26492,-32768,-18137,27520
3,-1268,-10892,17316,32767,19806,-3762
4,-796,-5092,19108,-30186,-13168,-2880
5,8976,2000,21500,-32768,-1046,17304
6,1288,-212,28996,32767,5682,-15156
7,-748,-6172,15356,-30355,-9542,-2428
8,7624,3212,26768,-31263,-2832,12655
9,4300,-16212,19664,32767,7153,-2781
10,2272,-1780,18520,-32768,-2330,6162
11,5852,1108,31504,32767,5912,-4754
12,2976,-2324,17100,-26059,-3889,-3829
13,7048,3960,30304,32767,8791,-6962
14,1952,-5040,13484,-32768,-8502,-3718
15,6468,3724,32767,32767,13335,-12506
16,1088,-13076,16508,-14568,-8205,1709
17,3616,5212,32020,-17883,-1129,9094
18,3176,-10852,19056,22423,210,-5208
19,3896,1124,26344,-32768,-2120,14065
20,3988,-13908,20184,23320,-1884,-7533
21,7504,-1344,24328,-32768,-4466,12877
22,3732,-7652,19100,32767,3485,-8322
23,5016,-5076,19776,-32768,-1495,10416
24,3656,-7156,28044,32767,2971,-6459
25,2216,-3532,16056,-28649,4983,10746
26,6036,-6056,32767,32767,4377,-12358
27,1684,-2932,13108,-21771,2415,6543
28,4148,5368,32767,-12450,-857,5108
29,2048,-4516,21364,16911,-1377,-2604
30,3752,-4040,21932,-13917,-2075,3819
31,4548,-11300,32360,28339,1587,-4763
32,4460,-1464,15500,-18113,529,6553
33,5600,-1868,32767,8099,-902,-1161
34,4036,-8964,26120,26479,2030,-4088
35,2300,-2272,21828,-3297,-244,3552
36,1872,-10572,32767,32767,5262,-4498
37,320,-5012,17268,-9294,4321,11509
38,1920,-4008,32116,32767,-1654,-5196
39,2424,-8504,20560,7581,-5045,-5312
40,13172,-3936,17176,-32768,12458,-269
41,-6520,-15928,19876,29160,-16233,-28149
42,2832,-2660,16860,-32043,4562,15052
43,-28,4312,32767,-11304,-1460,7869
44,-6804,-8264,16692,-7927,-15321,-8633
45,7416,-1088,20040,-32768,-2398,14005
46,3168,-4984,29504,32767,-142,-8908
47,2676,-8252,26728,22090,3313,-2255
48,1228,-13544,20736,7281,-5755,-7520
49,4704,-2900,16688,-32768,273,8839
50,5284,-5276,26828,32767,-1347,-11953
51,4760,-8932,23292,13385,-447,-3168
52,4732,-5072,18824,-30942,-1375,5825
53,4560,-11424,23968,32767,5565,-4185
54,2192,-10604,17592,-27263,789,7365
55,5524,-7864,24208,32767,5532,-6112
56,2980,-6172,15300,-32768,-4766,2934
57,3424,6856,32767,26435,6985,-5883
58,2156,-8644,13280,-10493,-6708,-3555
59,4668,8900,32652,-32768,1147,6851
60,3060,-18084,17316,32767,642,-5766
61,7512,-6048,19124,-32768,-11100,12053
62,968,-2684,31172,32767,13659,-10138
63,3544,-12972,18872,16797,-414,-4635
64,5128,-6832,19068,-32768,-8531,7846
65,3248,496,31904,26415,7029,-4798
66,3960,-13672,17744,10921,-1333,-5518
67,5236,-1844,19948,-32768,-6216,12245
68,7664,-5868,27864,32767,7839,-12957
69,2636,-13612,19572,135,2067,1792
70,7412,-5740,19528,-27748,-5947,4214
71,3216,1668,29452,-21763,-2453,3826
72,1444,-12368,20820,32767,490,-3162
73,4380,-7096,17232,-32768,-2591,3287
74,5788,1084,29320,-18141,-569,312
75,3792,-5704,26712,12728,2326,-1701
76,5056,-7720,19716,1169,1250,-649
77,5372,-6296,25120,4484,1805,-1342
78,3100,-7616,23368,3827,1951,74
79,4032,-7104,23740,3744,-1524,1400
80,1368,-1808,27760,20452,-4635,-6328
81,5456,-360,24892,3334,102,-2188
82,5580,80,24760,539,655,6436
83,4548,-180,28220,22663,8860,-9666
84,6228,1588,25224,-430,348,-4138
85,3576,1196,24180,-4222,3189,5905
86,-1864,3448,32767,-393,-4765,2187
87,5704,1280,17468,-6191,-4851,-7804
88,-932,788,32767,5812,10100,2478
89,5008,1620,20228,-32768,-5991,10054
90,5844,-964,29260,32767,5165,-13579
91,1660,-8352,18224,-16864,-4,-3583
92,3796,1796,32767,-9673,-100,5437
93,428,-7108,16808,-2253,-11591,-6739
94,5736,-4192,23596,-32768,7495,18922
95,4396,-9348,23500,32767,4949,-8999
96,2352,-5520,18596,-21704,720,-1305
97,4636,2392,32767,-11782,-2462,3656
98,5140,-6764,21908,26632,-2033,-3978
99,3552,-3212,24036,-21443,-4627,3647
100,5020,-6776,23856,18973,-2985,2836
101,4408,-476,25460,-14715,-4695,1656
102,4356,-6572,23292,17177,4053,-6077
103,-2392,-2632,26348,6598,13746,9563
104,7528,-4700,14792,-32768,1181,9974
105,-956,7616,32767,30312,32767,-7541
106,2368,-10116,14436,-19886,-4396,-6691
107,2648,-1064,25972,-26879,-9603,10530
108,1412,-11296,19804,19657,-2892,-2507
109,5388,-6068,18572,-26955,-561,5693
110,9172,-16980,28500,32767,2036,-16273
111,968,-2308,15720,-12285,-1833,6339
112,3412,-160,27592,-25428,-7240,10108
113,2172,-2316,18552,-1228,-3173,-5673
114,3528,-6144,24632,-4793,1687,3036
115,7076,-11160,21068,26592,491,-9132
116,4948,-3736,21948,-10876,1413,3772
117,10188,-15396,32767,32256,4332,-7276
118,3660,-6616,20804,-698,-225,-418
119,4364,-5028,23928,1642,-1413,445
120,5392,-5236,23932,85,19,-1063
121,5032,-4872,24092,274,-140,-87
122,5336,-5108,23748,527,6,-85
123,5384,-4748,23992,529,-572,542
124,5156,-4768,24020,409,-86,227
125,5652,-4452,24100,-1835,1241,-626
126,5448,-5808,24172,-1723,-878,2466
127,4936,-5224,23860,-594,-259,166
128,5140,-4864,23996,99,-333,17
129,4388,-3904,26596,13,3931,-262
130,4888,-7064,20260,8582,-3123,-3457
131,4632,-5684,22832,-12590,3034,685
132,5176,-8504,32767,32767,12573,-8834
133,4724,-4728,10784,-7226,1713,-4053
134,2280,-2176,26536,-32768,-4556,7236
135,5756,-13288,25280,32767,4979,-2635
136,10268,-4820,11388,-22822,-2800,4662
137,7164,-7212,20924,-32768,-14388,5195
138,4028,-3932,26588,32767,6650,-2527
139,4736,-6652,23816,8932,-92,-1471
140,5696,-6140,23412,2600,109,-105
141,5196,-4888,24396,2071,-168,671
142,5372,-5664,23364,1265,-549,381
143,5468,-5076,23820,1066,-190,193
144,5352,-4604,24168,-733,60,192
